15,33
14.5,32.9
14.1,32.7
13.6,32.5
13.3,32.1
13.2,31.6
12.8,31.3
12.4,30.9
12.5,30.4
12.2,30.0
11.9,29.6
11.4,29.7
11.0,29.5
10.6,29.2
10.2,28.9
10.0,28.5
9.9,28.0
9.7,27.5
9.3,27.2
9.2,26.7
9.3,26.2
9.4,25.7
9.1,25.3
9.1,24.8
9.2,24.3
9.2,23.8
9.2,23.3
9.1,22.8
9.0,22.3
9.1,21.8
9.0,21.3
9.3,20.9
9.5,20.5
9.8,20.1
9.6,19.7
9.8,19.3
10.1,18.9
10.4,18.5
10.2,18.0
10.6,17.8
10.6,17.3
10.8,16.9
11.2,16.6
11.5,16.2
11.8,15.8
11.6,15.4
12.0,15.1
12.3,14.7
12.8,14.8
12.9,14.3
13.4,14.1
13.6,13.7
13.4,13.2
13.8,12.9
13.7,12.4
14.1,12.2
14.6,12.0
14.9,11.6
14.9,11.1
15.1,10.7
15.5,10.4
16.0,10.2
16.4,10.4
16.8,10.1
17.3,10.0
17.6,9.6
18.0,9.3
18.5,9.2
19.0,9.1
19.5,9.0
20.0,8.8
20.5,8.7
21.0,8.5
21.5,8.4
22.0,8.4
22.5,8.2
23.0,8.3
23.5,8.4
24.0,8.6
24.3,8.2
24.8,8.2
25.3,8.3
25.6,7.9
26.1,7.9
26.6,7.8
27.0,8.1
27.5,8.0
28.0,7.8
28.4,8.2
28.9,8.1
29.4,8.0
29.8,8.3
30.2,8.6
30.5,9.0
31.0,8.8
31.5,8.7
31.9,8.4
32.3,8.1
32.8,8.3
33.2,8.0
33.7,8.2
34.0,8.6
34.4,8.9
34.9,8.9
35.3,9.2
35.8,9.0
36.2,8.8
36.7,8.8
37.1,8.5
37.6,8.3
38.0,8.5
38.4,8.7
38.8,8.4
39.2,8.7
39.6,8.4
39.8,8.0
40.0,7.5
40.3,7.1
40.1,6.6
40.2,6.1
40.6,5.8
41.0,5.6
41.5,5.4
41.9,5.2
41.8,4.7
41.6,4.2
42.0,3.9
42.5,3.8
42.9,3.5
43.3,3.2
43.2,2.7
43.7,2.6
44.2,2.5
44.2,2.0
44.5,1.6
44.7,1.2
45.2,1.2
45.7,1.1
46.2,1.0
46.7,1.2
47.1,0.9
47.6,1.0
48.1,0.9
48.6,1.0
49.0,1.3
49.5,1.2
50.0,1.4
50.5,1.6
51.0,1.5
51.5,1.3
52.0,1.4
52.5,1.2
52.9,0.9
53.3,0.7
53.7,1.0
54.2,1.0
54.5,0.6
55.0,0.7
55,0
